customer_id,customer_name,gender,age,city,state,zone,membership,join_date
1,Customer_1,Female,35,Hyderabad,Telangana,South,Prime,02-04-2022
2,Customer_2,Female,27,Delhi,Delhi,North,None,03-04-2022
3,Customer_3,Female,25,Kolkata,West Bengal,North,None,04-04-2022
4,Customer_4,Male,55,Bengaluru,Karnataka,South,None,05-04-2022
5,Customer_5,Female,52,Kolkata,West Bengal,East,None,06-04-2022
6,Customer_6,Male,37,Delhi,Delhi,North,None,07-04-2022
7,Customer_7,Male,29,Kolkata,West Bengal,East,None,08-04-2022
8,Customer_8,Female,20,Mumbai,Maharashtra,West,None,09-04-2022
9,Customer_9,Male,37,Delhi,Delhi,North,Prime,10-04-2022
10,Customer_10,Female,29,Hyderabad,Telangana,South,None,11-04-2022
11,Customer_11,Male,41,Mumbai,Maharashtra,West,None,12-04-2022
12,Customer_12,Female,33,Delhi,Delhi,North,None,13-04-2022
13,Customer_13,Male,27,Lucknow,Uttar Pradesh,North,None,14-04-2022
14,Customer_14,Female,36,Lucknow,Uttar Pradesh,North,None,15-04-2022
15,Customer_15,Male,58,Kolkata,West Bengal,East,None,16-04-2022
16,Customer_16,Female,31,Delhi,Delhi,North,None,17-04-2022
17,Customer_17,Female,31,Delhi,Delhi,North,None,18-04-2022
18,Customer_18,Female,39,Chennai,Tamil Nadu,South,Prime,19-04-2022
19,Customer_19,Male,21,Mumbai,Maharashtra,West,None,20-04-2022
20,Customer_20,Male,51,Lucknow,Uttar Pradesh,North,None,21-04-2022
21,Customer_21,Female,35,Delhi,Delhi,North,None,22-04-2022
22,Customer_22,Female,51,Lucknow,Uttar Pradesh,North,None,23-04-2022
23,Customer_23,Female,35,Hyderabad,Telangana,South,None,24-04-2022
24,Customer_24,Male,57,Kolkata,West Bengal,East,None,25-04-2022
25,Customer_25,Male,48,Mumbai,Maharashtra,West,Prime,26-04-2022
26,Customer_26,Male,59,Jaipur,Rajasthan,North,None,27-04-2022
27,Customer_27,Female,37,Delhi,Delhi,North,None,28-04-2022
28,Customer_28,Male,53,Chennai,Tamil Nadu,South,None,29-04-2022
29,Customer_29,Female,59,Ahmedabad,Gujarat,West,None,30-04-2022
30,Customer_30,Female,27,Delhi,Delhi,North,None,01-05-2022
31,Customer_31,Male,20,Hyderabad,Telangana,South,Prime,02-05-2022
32,Customer_32,Male,38,Hyderabad,Telangana,South,None,03-05-2022
33,Customer_33,Female,53,Bengaluru,Karnataka,South,Prime,04-05-2022
34,Customer_34,Male,27,Hyderabad,Telangana,South,None,05-05-2022
35,Customer_35,Male,24,Bengaluru,Karnataka,South,None,06-05-2022
36,Customer_36,Male,39,Bengaluru,Karnataka,South,None,07-05-2022
37,Customer_37,Male,40,Chennai,Tamil Nadu,South,None,08-05-2022
38,Customer_38,Female,29,Chennai,Tamil Nadu,South,None,09-05-2022
39,Customer_39,Male,56,Delhi,Delhi,North,Prime,10-05-2022
40,Customer_40,Male,30,Jaipur,Rajasthan,North,Prime,11-05-2022
41,Customer_41,Female,57,Jaipur,Rajasthan,North,None,12-05-2022
42,Customer_42,Male,30,Hyderabad,Telangana,South,None,13-05-2022
43,Customer_43,Male,50,Bengaluru,Karnataka,South,None,14-05-2022
44,Customer_44,Female,48,Bengaluru,Karnataka,South,Prime,15-05-2022
45,Customer_45,Female,45,Chennai,Tamil Nadu,South,None,16-05-2022
46,Customer_46,Male,36,Chennai,Tamil Nadu,South,None,17-05-2022
47,Customer_47,Male,38,Delhi,Delhi,North,None,18-05-2022
48,Customer_48,Female,49,Chennai,Tamil Nadu,South,None,19-05-2022
49,Customer_49,Female,43,Delhi,Delhi,North,None,20-05-2022
50,Customer_50,Male,30,Mumbai,Maharashtra,West,None,21-05-2022
51,Customer_51,Male,46,Chennai,Tamil Nadu,South,None,22-05-2022
52,Customer_52,Male,24,Chennai,Tamil Nadu,South,None,23-05-2022
53,Customer_53,Female,43,Bengaluru,Karnataka,South,None,24-05-2022
54,Customer_54,Male,23,Hyderabad,Telangana,South,None,25-05-2022
55,Customer_55,Female,49,Lucknow,Uttar Pradesh,North,None,26-05-2022
56,Customer_56,Female,53,Pune,Maharashtra,West,None,27-05-2022
57,Customer_57,Female,40,Chennai,Tamil Nadu,South,None,28-05-2022
58,Customer_58,Female,28,Mumbai,Maharashtra,West,None,29-05-2022
59,Customer_59,Male,38,Delhi,Delhi,North,None,30-05-2022
60,Customer_60,Female,36,Bengaluru,Karnataka,South,None,31-05-2022
61,Customer_61,Male,51,Hyderabad,Telangana,South,None,01-06-2022
62,Customer_62,Male,52,Kolkata,West Bengal,East,Prime,02-06-2022
63,Customer_63,Male,48,Bengaluru,Karnataka,South,None,03-06-2022
64,Customer_64,Male,46,Bengaluru,Karnataka,South,None,04-06-2022
65,Customer_65,Female,23,Delhi,Delhi,North,Prime,05-06-2022
66,Customer_66,Female,53,Delhi,Delhi,North,None,06-06-2022
67,Customer_67,Female,48,Lucknow,Uttar Pradesh,North,None,07-06-2022
68,Customer_68,Male,49,Chennai,Tamil Nadu,South,None,08-06-2022
69,Customer_69,Female,57,Mumbai,Maharashtra,West,Prime,09-06-2022
70,Customer_70,Male,37,Kolkata,West Bengal,East,None,10-06-2022
71,Customer_71,Male,39,Kolkata,West Bengal,East,None,11-06-2022
72,Customer_72,Female,20,Chennai,Tamil Nadu,South,None,12-06-2022
73,Customer_73,Male,25,Mumbai,Maharashtra,West,None,13-06-2022
74,Customer_74,Female,36,Bengaluru,Karnataka,South,None,14-06-2022
75,Customer_75,Male,48,Mumbai,Maharashtra,West,None,15-06-2022
76,Customer_76,Male,49,Ahmedabad,Gujarat,West,None,16-06-2022
77,Customer_77,Female,32,Chennai,Tamil Nadu,South,None,17-06-2022
78,Customer_78,Other,56,Hyderabad,Telangana,South,None,18-06-2022
79,Customer_79,Male,48,Bengaluru,Karnataka,South,None,19-06-2022
80,Customer_80,Female,20,Delhi,Delhi,North,None,20-06-2022
81,Customer_81,Female,49,Mumbai,Maharashtra,West,None,21-06-2022
82,Customer_82,Male,27,Lucknow,Uttar Pradesh,North,None,22-06-2022
83,Customer_83,Female,45,Delhi,Delhi,North,None,23-06-2022
84,Customer_84,Male,44,Mumbai,Maharashtra,West,None,24-06-2022
85,Customer_85,Male,57,Lucknow,Uttar Pradesh,North,None,25-06-2022
86,Customer_86,Male,48,Pune,Maharashtra,West,None,26-06-2022
87,Customer_87,Female,51,Ahmedabad,Gujarat,West,None,27-06-2022
88,Customer_88,Male,22,Mumbai,Maharashtra,West,None,28-06-2022
89,Customer_89,Male,28,Pune,Maharashtra,West,Prime,29-06-2022
90,Customer_90,Male,24,Bengaluru,Karnataka,South,None,30-06-2022
91,Customer_91,Male,25,Kolkata,West Bengal,East,Prime,01-07-2022
92,Customer_92,Male,34,Mumbai,Maharashtra,West,None,02-07-2022
93,Customer_93,Male,56,Bengaluru,Karnataka,South,None,03-07-2022
94,Customer_94,Male,58,Ahmedabad,Gujarat,West,Prime,04-07-2022
95,Customer_95,Male,31,Hyderabad,Telangana,South,None,05-07-2022
96,Customer_96,Female,41,Pune,Maharashtra,West,Prime,06-07-2022
97,Customer_97,Female,47,Mumbai,Maharashtra,West,None,07-07-2022
98,Customer_98,Male,32,Mumbai,Maharashtra,West,None,08-07-2022
99,Customer_99,Male,21,Chennai,Tamil Nadu,South,None,09-07-2022
100,Customer_100,Male,30,Chennai,Tamil Nadu,South,None,10-07-2022
101,Customer_101,Female,22,Lucknow,Uttar Pradesh,North,Prime,11-07-2022
102,Customer_102,Male,48,Kolkata,West Bengal,East,None,12-07-2022
103,Customer_103,Male,29,Hyderabad,Telangana,South,None,13-07-2022
104,Customer_104,Male,47,Ahmedabad,Gujarat,West,Prime,14-07-2022
105,Customer_105,Male,27,Mumbai,Maharashtra,West,Prime,15-07-2022
106,Customer_106,Female,47,Hyderabad,Telangana,South,None,16-07-2022
107,Customer_107,Male,43,Delhi,Delhi,North,None,17-07-2022
108,Customer_108,Male,23,Mumbai,Maharashtra,West,None,18-07-2022
109,Customer_109,Male,44,Kolkata,West Bengal,East,None,19-07-2022
110,Customer_110,Unknown,37,Hyderabad,Telangana,South,Prime,20-07-2022
111,Customer_111,Male,45,Pune,Maharashtra,West,Prime,21-07-2022
112,Customer_112,Male,37,Bengaluru,Karnataka,South,None,22-07-2022
113,Customer_113,Male,29,Hyderabad,Telangana,South,None,23-07-2022
114,Customer_114,Male,38,Mumbai,Maharashtra,West,None,24-07-2022
